अँग्रेज़	̃grēz
कितने	itē
कितनों	itō̃
किताब	itāb
क़िताब	qitāb
किताबें	itābē̃
क़िताबें	qitābē̃
किताबों	itābō̃
क़िताबों	qitābō̃
किन	i
किनके	iē
किनसे	isē
किनारा	iārā
किनारे	iārē
किनारों	iārō̃
किबकालो	ibālō
किम	im
किमी	imī
किय	iy
किया	iyā
किये	iyē
किरकिरी	irirī
किर्चनर	ircr
किरण	irṇ
किरणदीप	irṇdīp
किरणें	irṇē̃
किरणों	irṇō̃
किरदार	irdār
क़िरदार	qirdār
किरन	ir
किर्शनर	irśr
किराए	irāē
किराये	irāyē
किल्लत	illt
किला	ilā
क़िला	qilā
किलिनोच्ची	iliōccī
किलिनोची	iliōcī
किलीनोच्ची	ilīōccī
किलीनोची	ilīōcī
क़िले	qilē
किलो	ilō
किलोग्राम	ilōgrām
किलोमीट	ilōmīṭ
किलोमीटर	ilōmīṭr
किलोहर्ट्ज़	ilōhrṭz
किवदंतियां	ivdtiyā̃
किवदंतियो	ivdtiyō
किवदंतियों	ivdtiyō̃
किशानों	iśāō̃
किशोर	iśōr
किस	is
किसका	isā
किसकी	isī
किसके	isē
किसको	isō
किस्त	ist
किस्तें	istē̃
किस्ना	isā
किसने	isē
किस्म	ism
क़िस्म	qism
किस्मत	ismt
क़िस्मत	qismt
किस्में	ismē̃
किस्मों	ismō̃
किससे	issē
क़िस्से	qissē
किसान	isā
किसानों	isāō̃
किसी	isī
किसे	isē
की	ī
कीं	ī̃
कीइव	īiv
कीचड़	īcṛ
कीजिए	ījiē
कीजिएगा	ījiēgā
कीटमुक्त	īṭmut
कीटों	īṭō̃
कीड़े	īṛē
कीड़ों	īṛō̃
कीनिया	īiyā
कीनियाई	īiyāī
कीनीया	īīyā
कीमत	īmt
क़ीमत	qīmt
कीमती	īmtī
क़ीमती	qīmtī
कीमतें	īmtē̃
क़ीमतें	qīmtē̃
कीमतों	īmtō̃
क़ीमतों	qīmtō̃
कीर्तन	īrt
कीर्ति	īrti
कीर्तिमान	īrtimā
कीर्तिमानों	īrtimāō̃
कीव	īv
कुँओं	ũō̃
कुँवारा	ũvārā
कुंजारानी	uñjārāī
कुंडली	uṇḍlī
कुंदनलाल	udlāl
कुंबले	umblē
कुआँरा	uā̃rā
कुआलालंपुर	uālālmpur
कुएँ	uē̃
कुओं	uō̃
कुक	u
कुकी	uī
कुकीज़	uīz
कुख्यात	uhyāt
कुचमा	ucmā
कुचल	ucl
कुचलती	ucltī
कुचलना	uclā
कुचले	uclē
कुचुवेली	ucuvēlī
कुछ	uch
कुछेक	uchē
कुज़्नेत्सोवा	uzētsōvā
कुडालोर	uḍālōr
कुत्ता	uttā
कुत्ते	uttē
कुत्तों	uttō̃
क़ुतुब	qutub
कुतुबुद्दीन	utubuddī
कुदरत	udrt
क़ुदरत	qudrt
कुनबे	ubē
कुपर	upr
कुपरतीनो	uprtīō
कुप्रबंधन	uprbdh
कुमकुम	umum
कुमाऊँ	umāū̃
कुमार	umār
कुमारतुंग	umārtug
कुमारतुंगा	umārtugā
कुमारमंगलम	umārmglm
कुमारी	umārī
क़ुरआन	qurā
कुर्द	urd
क़ुर्बान	qurbā
कुर्बानी	urbāī
क़ुर्बानी	qurbāī
कुर्सी	ursī
कुरान	urā
क़ुरान	qurā
कुरिया	uriyā
कुरी	urī
कुरीतियों	urītiyō̃
कुरुँगा	urũgā
कुरैशी	uriśī
क़ुरैशी	quriśī
कुल	ul
कुलदीप	uldīp
कुलबीर	ulbīr
कुलसूम	ulsūm
कुली	ulī
कुवैट	uviṭ
कुवैत	uvit
क़ुवैत	quvit
कुवैती	uvitī
कुश्ती	uśtī
कुशल	uśl
कुहनी	uhī
कूट	ūṭ
कूटनीतिक	ūṭīti
कूट्सी	ūṭsī
कूड़ेदान	ūṛēdā
कूद	ūd
कूदकर	ūdr
कूपर	ūpr
कूपर्स	ūprs
कूरियर	ūriyr
कूरी	ūrī
कूशमा	ūśmā
कृत	ṛt
कृतज्ञता	ṛtjñtā
कृत्रिम	ṛtrim
कृति	ṛti
कृतियों	ṛtiyō̃
कृपया	ṛpyā
कृपा	ṛpā
कृपाण	ṛpāṇ
कृष्ण	ṛṣṇ
कृष्णलाल	ṛṣṇlāl
कृष्णा	ṛṣṇā
कृष्णामचारी	ṛṣṇāmcārī
कृष्णामूर्ति	ṛṣṇāmūrti
कृषि	ṛṣi
कृषिमंत्री	ṛṣimtrī
कॅटालाउनिकस	êṭālāuis
के	ē
केंट	ēṇṭ
केंद्र	ēdr
केंद्रिका	ēdriā
केंद्रित	ēdrit
केंद्रीय	ēdrīy
केंद्रों	ēdrō̃
केंन्द्र	ēdr
केंबल	ēmbl
केएम	ēēm
केएल	ēēl
केएस	ēēs
केकी	ēī
केजी	ējī
केजे	ējē
केट	ēṭ
केटन	ēṭ
केन	ē
केन्द्र	ēdr
केन्द्रित	ēdrit
केन्द्रीय	ēdrīy
केनिस	ēis
केनेडी	ēēḍī
केपटाउन	ēpṭāu
केपी	ēpī
केबी	ēbī
केबीजे	ēbījē
केम्प	ēmp
केमिकल	ēmil
केमिस्ट्री	ēmisṭrī
केमेस्ट्री	ēmēsṭrī
केयर	ēyr
केयर्न्स	ēyrs
केरल	ērl
केरी	ērī
केली	ēlī
केलीफ़ोर्निया	ēlīfōriyā
केले	ēlē
केवल	ēvl
केविन	ēvi
केस	ēs
केसर	ēsr
केसी	ēsī
कैंडी	iṇḍī
कैंप	imp
कैंपबेल	impbēl
कैंपों	impō̃
कैंसर	ĩsr
कैच	ic
कैट्स	iṭs
कैटिच	iṭic
कैडबरी	iḍbrī
कैथरीन	ithrī
कैथोलिक	ithōli
क़ैद	qid
कैदियों	idiyō̃
क़ैदियों	qidiyō̃
कैदी	idī
क़ैदी	qidī
कैन	i
कैप	ip
कैप्टन	ipṭ
कैप्रियाती	ipriyātī
कैप्रियो	ipriyō
कैप्सुल	ipsul
कैप्सूल	ipsūl
कैपिटल	ipiṭl
कैफ	iph
कैफ़	if
क़ैफ़	qif
कैफ़ी	ifī
कैफ़े	ifē
कैबिनेट	ibiēṭ
कैम्प	imp
कैम्ब्रिज	imbrij
कैमरा	imrā
कैमरायुक्त	imrāyut
कैमरे	imrē
कैमरों	imrō̃
कैमेरॉन	imērô
कैरियर	iriyr
कैरिस्टिस	irisṭis
कैरी	irī
कैरेट	irēṭ
कैरेल	irēl
कैरोलाइन	irōlāi
कैलगरी	ilgrī
कैलगारी	ilgārī
कैलाश	ilāś
कैलिफ़ोर्निया	ilifōriyā
कैलिस	ilis
कैली	ilī
कैलीफ़ोर्निया	ilīfōriyā
कैश	iś
कैस्परोविच	isprōvic
कैसा	isā
कैसिनी	isiī
कैसी	isī
कैसे	isē
कैसेट	isēṭ
कॉंग्रेस	ôgrēs
कॉंगो	ôgō
कॉंगोवासियों	ôgōvāsiyō̃
कॉंफ़्रेंस	ỗfrē̃s
कॉई	ôī
कॉग्रेस	ôgrēs
कॉन्कॉर्ड	ôôrḍ
कॉन्डम	ôḍm
कॉन्डेन्सेट्स	ôḍēsēṭs
कॉन्डोम	ôḍōm
कॉन्फ़्रेंस	ôfrē̃s
कॉनर्स	ôrs
कॉनवे	ôvē
कॉन्स्टेंटाइन	ôsṭēṇṭāi
कॉनसर्ट	ôsrṭ
कॉन्सर्ट	ôsrṭ
कॉपी	ôpī
कॉपीराइट	ôpīrāiṭ
कॉफ़्रेंस	ôfrē̃s
कॉफी	ôphī
क़ॉफ़ी	qôfī
कॉम	ôm
कॉमकास्ट	ômāsṭ
कॉम्प्लेक्स	ômplēs
कॉमरेडों	ômrēḍō̃
कॉमिक	ômi
कॉमेडी	ômēḍī
कॉर्ड्स	ôrḍs
कॉर्नर	ôrr
कॉर्निश	ôriś
कॉर्प	ôrp
कॉरपोरेशन	ôrpōrēś
कॉर्बेट	ôrbēṭ
कॉरिडोर	ôriḍōr
कॉरीडोर	ôrīḍōr
कॉरोपोरेशन	ôrōpōrēś
कॉलम	ôlm
कॉलिंग	ôlig
कॉलिज	ôlij
कॉलिन	ôli
कॉलेज	ôlēj
कॉलेजों	ôlējō̃
कॉस्मेटिक्स	ôsmēṭis
को	ō
कों	ō̃
कोंकड़	ōṛ
कोंकण	ōṇ
कोंटे	ōṇṭē
कोंडोलीज़ा	ōṇḍōlīzā
कोइकेमोअर	ōiēmōr
कोई	ōī
कोईज़ुमी	ōīzumī
कोकिला	ōilā
कोकिलाबेन	ōilābē
कोकेन	ōē
कोको	ōō
कोख	ōh
कोच	ōc
कोचि	ōci
कोचों	ōcō̃
कोटि	ōṭi
कोटिया	ōṭiyā
कोठारी	ōṭhārī
कोड	ōḍ
कोना	ōā
कोने	ōē
कोनों	ōō̃
कोप	ōp
कोप्पिकर	ōppir
कोपा	ōpā
कोपेनहेगन	ōpēhēg
कोपेनहेगेन	ōpēhēgē
कोफी	ōphī
कोफ़ी	ōfī
कोबे	ōbē
कोमरी	ōmrī
कोमल	ōml
कोमा	ōmā
कोमोडो	ōmōḍō
कोयंबटूर	ōymbṭūr
कोयला	ōylā
कोयले	ōylē
कोर्ट	ōrṭ
कोर्नेल	ōrēl
कोर्पोरेशन	ōrpōrēś
कोरम	ōrm
कोर्स	ōrs
कोरांगा	ōrāgā
कोरिया	ōriyā
कोरियाई	ōriyāī
कोरियोग्राफ़र	ōriyōgrāfr
कोरिले	ōrilē
कोरी	ōrī
कोलंबस	ōlmbs
कोलंबो	ōlmbō
कोलकाता	ōlātā
कोलम्बो	ōlmbō
कोल्लम	ōllm
कोलीज़न	ōlīz
कोशिका	ōśiā
कोशिकाएँ	ōśiāē̃
कोशिकाएं	ōśiāē̃
कोशिकाओं	ōśiāō̃
कोशिश	ōśiś
कोशिशें	ōśiśē̃
कोशिशों	ōśiśō̃
कोष	ōṣ
कोस	ōs
कोसते	ōstē
कोहरा	ōhrā
कोहरे	ōhrē
कोहली	ōhlī
कोहिनूर	ōhiūr
कोहुत	ōhut
कोहे	ōhē
कौंसिल	ũsil
कौन	u
कौम	um
क़ौम	qum
कौर	ur
कौरवों	urvō̃
कौरु	uru
कौल	ul
कौवा	uvā
कौशल	uśl
कौशिक	uśi
खंज़र	hṁzr
खंड	hṇḍ
खंडन	hṇḍ
खंडपीठ	hṇḍpīṭh
खंडहर	hṇḍhr
खंबों	hmbō̃
खंभे	hmbhē
खगोल	hgōl
खगोलविज्ञान	hgōlvijñā
खगोलविद	hgōlvid
खगोलविदों	hgōlvidō̃
खगोलवैज्ञानिक	hgōlvijñāi
खगोलशास्त्रियों	hgōlśāstriyō̃
खचाखच	hcāhc
ख़ज़ाना	̱ẖzāā
खज़ाने	hzāē
ख़ज़ाने	̱ẖzāē
खटखटाया	hṭhṭāyā
खट्टी	hṭṭī
खट्टे	hṭṭē
खटाई	hṭāī
खटास	hṭās
खड़गपुर	hṛgpur
खड़ा	hṛā
खड़ी	hṛī
खड़े	hṛē
ख़तना	̱ẖtā
ख़तने	̱ẖtē
खत्म	htm
ख़तम	̱ẖtm
ख़त्म	̱ẖtm
खतरनाक	htrā
ख़तरनाक	̱ẖtrā
ख़तरनाक़	̱ẖtrāq
ख़तरा	̱ẖtrā
खतरे	htrē
ख़तरे	̱ẖtrē
ख़तरों	̱ẖtrō̃
खतामी	htāmī
खदेड़ा	hdēṛā
खन्ना	hā
खनाल	hāl
खनिज	hij
खपत	hpt
खबर	hbr
ख़बर	̱ẖbr
ख़बरे	̱ẖbrē
ख़बरें	̱ẖbrē̃
खबरों	hbrō̃
ख़बरों	̱ẖbrō̃
खम	hm
खम्भे	hmbhē
ख्याति	hyāti
ख़्याति	̱ẖyāti
खयाल	hyāl
ख्याल	hyāl
ख़याल	̱ẖyāl
ख़्याल	̱ẖyāl
ख्यालात	hyālāt
ख़याली	̱ẖyālī
खर्च	hrc
ख़र्च	̱ẖrc
ख़र्चा	̱ẖrcā
ख़र्चीला	̱ẖrcīlā
ख़र्चों	̱ẖrcō̃
खरबों	hrbō̃
ख़र्राटों	̱ẖrrāṭō̃
ख़रा	̱ẖrā
खराब	hrāb
ख़राब	̱ẖrāb
ख़राबा	̱ẖrābā
ख़राबी	̱ẖrābī
ख़राबे	̱ẖrābē
खरी	hrī
ख़रीद	̱ẖrīd
खरीदते	hrīdtē
ख़रीददारी	̱ẖrīddārī
खरीदने	hrīdē
ख़रीदने	̱ẖrīdē
ख़रीदा	̱ẖrīdā
ख़रीदार	̱ẖrīdār
खरीदी	hrīdī
ख़रीदी	̱ẖrīdī
खरीदे	hrīdē
ख़रीदे	̱ẖrīdē
खरे	hrē
खरोगश	hrōgś
ख़रोश	̱ẖrōś
खल	hl
खलनायक	hlāy
ख़लल	̱ẖll
ख़लीफाओं	̱ẖlīphāō̃
ख्वाजा	hvājā
ख़्वाजा	̱ẖvājā
ख़्वाब	̱ẖvāb
ख़्वाहिश	̱ẖvāhiś
ख़स्ता	̱ẖstā
खस्ताहाल	hstāhāl
खा	hā
ख़ाँ	̱ẖā̃
खांडवाला	hāṇḍvālā
खाई	hāī
खाए	hāē
खाकर	hār
ख़ाके	̱ẖāē
खाड़ी	hāṛī
खातमी	hātmī
ख़ातमी	̱ẖātmī
ख़ात्मे	̱ẖātmē
खाता	hātā
ख़ातिर	̱ẖātir
खाते	hātē
खातों	hātō̃
खाद्	hād
खाद्य	hādy
खान	hā
ख़ान	̱ẖā
खाना	hāā
खानापूर्त्ति	hāāpūrtti
खानापूर्ति	hāāpūrti
खानापूर्ती	hāāpūrtī
ख़ानाबदोश	̱ẖāābdōś
खानी	hāī
खाने	hāē
खानें	hāē̃
खाबड़	hābṛ
ख़ामियाँ	̱ẖāmiyā̃
ख़ामियाज़ा	̱ẖāmiyāzā
ख़ामियों	̱ẖāmiyō̃
खामोश	hāmōś
ख़ामोश	̱ẖāmōś
खामोशी	hāmōśī
खाया	hāyā
खार्किफ़	hārif
खारा	hārā
खारापन	hārāp
खारिज	hārij
ख़ारिज	̱ẖārij
ख़ारिज़	̱ẖāriz
खारे	hārē
खारेपन	hārēp
खाल	hāl
खालसा	hālsā
ख़ालिद	̱ẖālid
खालिस्तान	hālistā
खाली	hālī
ख़ाली	̱ẖālī
ख़ालीपन	̱ẖālīp
खास	hās
ख़ास	̱ẖās
खासकर	hāsr
ख़ासकर	̱ẖāsr
खासतौर	hāstur
ख़ासतौर	̱ẖāstur
खासा	hāsā
ख़ासा	̱ẖāsā
ख़ासियत	̱ẖāsiyt
ख़ासी	̱ẖāsī
ख़ासे	̱ẖāsē
खिंचवाते	hiñcvātē
खिंचेंगी	hiñcēgī
खिड़की	hiṛī
खिताब	hitāb
ख़िताब	̱ẖitāb
ख़िताबी	̱ẖitābī
खिल्ली	hillī
खिलवाड़	hilvāṛ
खिलाड़ियों	hilāṛiyō̃
खिलाड़ी	hilāṛī
खिलाना	hilāā
खिलाफ	hilāph
खिलाफ़	hilāf
ख़िलाफ	̱ẖilāph
ख़िलाफ़	̱ẖilāf
खिलौना	hiluā
खिसक	his
खिसकती	histī
खिसका	hisā
खिसकी	hisī
खिसके	hisē
खींच	hīñc
खींचकर	hīñcr
खींचता	hīñctā
खींचतान	hīñctā
खींचना	hīñcā
खींचने	hīñcē
खींचा	hīñcā
खींची	hīñcī
खीचेंगें	hīcēgē̃
खीरी	hīrī
खुचे	hucē
खुज़ाइमा	huzāimā
ख़ुतबा	̱ẖutbā
खुद	hud
ख़ुद	̱ẖud
ख़ुदकुशी	̱ẖuduśī
ख़ुदग़र्ज़	̱ẖudġrz
खुद्दार	huddār
ख़ुद्दार	̱ẖuddār
ख़ुदा	̱ẖudā
खुदाई	hudāī
खुफ़िया	hufiyā
ख़ुफ़िया	̱ẖufiyā
ख़ुबाइब	̱ẖubāib
ख़ुमैनी	̱ẖumiī
खुरदरी	hurdrī
ख़ुर्शीद	̱ẖurśīd
ख़ुराना	̱ẖurāā
ख़ुराफ़ात	̱ẖurāfāt
खुल	hul
खुलकर	hulr
खुलना	hulā
खुलने	hulē
खुलनेवाले	hulēvālē
खुला	hulā
खुलासा	hulāsā
खुली	hulī
खुलीं	hulī̃
खुले	hulē
खुलेंगे	hulēgē
खुलेपन	hulēp
खुश	huś
ख़ुश	̱ẖuś
खुशख़बरी	huś̱ẖbrī
ख़ुशनसीबी	̱ẖuśsībī
खुशफहमी	huśphhmī
खुशरा	huśrā
ख़ुशवंत	̱ẖuśvt
ख़ुशियाँ	̱ẖuśiyā̃
ख़ुशियों	̱ẖuśiyō̃
खुशी	huśī
ख़ुशी	̱ẖuśī
ख़ूँख़ार	̱ẖū̱̃ẖār
खून	hū
ख़ून	̱ẖū
ख़ूनख़राबा	̱ẖū̱ẖrābā
खूब	hūb
ख़ूब	̱ẖūb
खूबसूरत	hūbsūrt
ख़ूबसूरत	̱ẖūbsūrt
खूबसूरती	hūbsūrtī
ख़ूबसूरती	̱ẖūbsūrtī
ख़ूबियाँ	̱ẖūbiyā̃
खेड़ा	hēṛā
खेत	hēt
खेत्रपाल	hētrpāl
खेती	hētī
खेद	hēd
खेन	hē
खेमे	hēmē
ख़ेमे	̱ẖēmē
खेमों	hēmō̃
खेर	hēr
खेल	hēl
खेलकर	hēlr
खेलती	hēltī
खेलते	hēltē
खेलना	hēlā
खेलनी	hēlī
खेलने	hēlē
खेलनेवाली	hēlēvālī
खेला	hēlā
खेलिए	hēliē
खेली	hēlī
खेलूँ	hēlū̃
खेले	hēlē
खेलें	hēlē̃
खेलेंगी	hēlēgī
खेलेंगे	hēlēgē
खेलेगी	hēlēgī
खेलो	hēlō
खेलों	hēlō̃
खैतान	hitā
खैर	hir
ख़ैर	̱ẖir
खो	hō
खोखर	hōhr
खोखली	hōhlī
खोखले	hōhlē
खोज	hōj
खोजकर्ता	hōjrtā
खोजकर्ताओं	hōjrtāō̃
खोजते	hōjtē
खोजने	hōjē
खोजबीन	hōjbī
खोजा	hōjā
खोजी	hōjī
खोजें	hōjē̃
खोजों	hōjō̃
खोटे	hōṭē
खोती	hōtī
खोते	hōtē
खोदी	hōdī
खोने	hōē
खोपड़ी	hōpṛī
खोबर	hōbr
खोया	hōyā
खोल	hōl
खोलकर	hōlr
खोलने	hōlē
खोला	hōlā
खोली	hōlī
खोले	hōlē
खोलेगा	hōlēgā
ख़ौफ़	̱ẖuf
खौफनाक	huphā
खौफ़नाक	hufā
गँवा	gm̐vā
गँवाई	gm̐vāī
गँवाकर	gm̐vār
गँवान	gm̐vā
गँवाना	gm̐vāā
गँवानी	gm̐vāī
गँवाने	gm̐vāē
गंगराडे	ggrāḍē
गंगा	ggā
गंजेपन	gñjēp
गंदी	gdī
गंध	gdh
गंधक	gdh
गंभीर	gmbhīr
गंभीरता	gmbhīrtā
गइ	gi
गई	gī
गईं	gī̃
गए	gē
गगन	gg
गज़	gz
गज़नवी	gzvī
ग़जब	ġjb
गज़ा	gzā
ग़ज़ा	ġzā
गठजोड़	gṭhjōṛ
गठन	gṭh
गठबंधन	gṭhbdh
गठित	gṭhit
गड़गड़ाहट	gṛgṛāhṭ
गड्डमड्ड	gḍḍmḍḍ
गड़बड़	gṛbṛ
गड़बड़ाती	gṛbṛātī
गड़बड़ियाँ	gṛbṛiyā̃
गड़बड़ियों	gṛbṛiyō̃
गड़बड़ी	gṛbṛī
गड़ाई	gṛāī
गढ़	gṛh
गढ़ते	gṛhtē
गणतंत्र	gṇttr
गणना	gṇā
गणमान्य	gṇmāy
गणराज्य	gṇrājy
गणात्रा	gṇātrā
गणित	gṇit
गणितीय	gṇitīy
गणेश	gṇēś
गत	gt
गति	gti
गतिरोध	gtirōdh
गतिविधियाँ	gtividhiyā̃
गतिविधियों	gtividhiyō̃
गतिशील	gtiśīl
गदगद	gdgd
ग़द्दाफ़ी	ġddāfī
गद्दी	gddī
गद्दे	gddē
गदराई	gdrāī
गदराए	gdrāē
गदराया	gdrāyā
गन	g
गनों	gō̃
गफ़	gf
गब्बर	gbbr
ग़म	ġm
गया	gyā
ग्यारह	gyārh
गयी	gyī
गये	gyē
गर्ग	grg
ग्रज	grj
गर्त	grt
गर्दिश	grdiś
गर्नी	grī
गर्भ	grbh
गर्भपात	grbhpāt
गर्भवती	grbhvtī
गरम	grm
गर्म	grm
गर्मजोशी	grmjōśī
गरमा	grmā
गर्मागर्म	grmāgrm
गरमाया	grmāyā
गर्माहट	grmāhṭ
गर्मियों	grmiyō̃
गर्मी	grmī
गर्ल	grl
गर्लफ़्रेंड	grlfrēṇḍ
गर्लफ्रैंड	grlphriṇḍ
गर्लफ़्रैंड	grlfriṇḍ
गर्ल्स	grls
गर्व	grv
ग्रस्त	grst
ग्रसित	grsit
ग्रह	grh
ग्रहण	grhṇ
ग्रहों	grhō̃
ग्रांडे	grāṇḍē
ग्राउंड	grāuṇḍ
ग्राफ़	grāf
ग्राफिक	grāphi
ग्राफ़िक	grāfi
ग्रामीण	grāmīṇ
ग्रामोफ़ोन	grāmōfō
ग्रास	grās
ग्राहक	grāh
ग्राहकों	grāhō̃
ग्राहम	grāhm
ग्रिम	grim
गरिमा	grimā
गरियाना	griyāā
ग्रीक	grī
ग्रीन	grī
ग्रीनहाउस	grīhāus
ग्रीनिचमान	grīicmā
ग्रीफिन	grīphi
ग़रीब	ġrīb
गरीबी	grībī
ग़रीबी	ġrībī
ग़रीबों	ġrībō̃
गरीश	grīś
ग्रीस	grīs
ग्रुप	grup
ग्रुपों	grupō̃
ग्रे	grē
ग्रेग	grēg
ग्रेगरी	grēgrī
ग्रेजुएशन	grējuēś
ग्रेट	grēṭ
ग्रेडिंग	grēḍig
ग़रेब	ġrēb
ग्रेशस	grēśs
ग्रेशियस	grēśiys
ग्रेसी	grēsī
ग्रैंड	griṇḍ
ग्रैगरी	grigrī
ग्रैच्युटी	gricyuṭī
ग्रैजुएट	grijuēṭ
ग्रैविटी	griviṭī
ग्रैवीनी	grivīī
ग्रोज़ां	grōzā̃
गलत	glt
ग़लत	ġlt
ग़लतफ़हमियाँ	ġltfhmiyā̃
ग़लतफहमी	ġltphhmī
ग़लतफ़हमी	ġltfhmī
ग़लतियाँ	ġltiyā̃
ग़ल्तियाँ	ġltiyā̃
ग़लतियों	ġltiyō̃
ग़लती	ġltī
ग्लव्स	glvs
गला	glā
गलियाँ	gliyā̃
गलियारा	gliyārā
गलियारे	gliyārē
गलियारों	gliyārō̃
गलियों	gliyō̃
ग्लूकोज	glūōj
गले	glē
ग्लेन	glē
ग्लैक्सोस्मिथक्लाइन	glisōsmithlāi
ग्लैमर	glimr
ग्लैमरविहीन	glimrvihī
ग्लोब	glōb
ग्लोबल	glōbl
ग्लोबल्स	glōbls
ग्लोबस्कैन	glōbsi
ग्लोबस्टार	glōbsṭār
गलौज	gluj
गवर्नर	gvrr
ग्वांतानामो	gvātāāmō
ग्वाटेमाला	gvāṭēmālā
गवारा	gvārā
ग्वालियर	gvāliyr
गवाह	gvāh
गवाही	gvāhī
गवाहों	gvāhō̃
गश्त	gśt
गशव	gśv
गहन	gh
गहने	ghē
गहमागहमी	ghmāghmī
गहरा	ghrā
गहराई	ghrāī
गहराता	ghrātā
गहरी	ghrī
गहरे	ghrē
गा	gā
गाँधी	gā̃dhī
गाँधीजी	gā̃dhījī
गाँधीवाद	gā̃dhīvād
गाँधीवादी	gā̃dhīvādī
गाँव	gā̃v
गाँववालों	gā̃vvālō̃
गाँववासी	gā̃vvāsī
गाँवों	gā̃vō̃
गांगजी	gāgjī
गांगुली	gāgulī
गांधी	gādhī
गांव	gā̃v
गाइड	gāiḍ
गाउल्ड्स	gāulḍs
गाए	gāē
गाएँगे	gāē̃gē
गाएंगी	gāēgī
गाकर	gār
गाज़ियाबाद	gāziyābād
ग़ाज़ियाबाद	ġāziyābād
ग़ाज़ी	ġāzī
गाजीपुर	gājīpur
ग़ाज़ीपुर	ġāzīpur
गाड़	gāṛ
गाड़ियाँ	gāṛiyā̃
गाड़ियों	gāṛiyō̃
गाड़ी	gāṛī
गाढ़ी	gāṛhī
गाती	gātī
गाते	gātē
गाथा	gāthā
गाना	gāā
गाने	gāē
गानें	gāē̃
गानों	gāō̃
गाय	gāy
गायक	gāy
गायकी	gāyī
गायकों	gāyō̃
गायन	gāy
गायनीकोलॉजिस्ट	gāyīōlôjisṭ
गायनोकॉलोजिस्ट	gāyōôlōjisṭ
ग़ायब	ġāyb
गाया	gāyā
गायिका	gāyiā
गारंटी	gārṇṭī
गार्जियन	gārjiy
गार्ड	gārḍ
गार्डों	gārḍō̃
गार्सिया	gārsiyā
गाल	gāl
गाली	gālī
गावसकर	gāvsr
गावस्कर	gāvsr
गावसर	gāvsr
गावों	gāvō̃
गाहे	gāhē
गिगुइमडे	giguimḍē
गिटार	giṭār
गिटारिस्ट	giṭārisṭ
गिनकर	gir
गिनता	gitā
गिनती	gitī
गिनने	giē
गिना	giā
गिनाईं	giāī̃
गिनाए	giāē
गिनाने	giāē
गिनी	giī
गिनीचुनी	giīcuī
गिने	giē
गिब्बन	gibb
गिब्स	gibs
गियोर्गी	giyōrgī
गिर	gir
गिरकर	girr
गिरगिट	girgiṭ
गिरजाघर	girjāghr
गिरती	girtī
गिरते	girtē
गिर्द	gird
गिरधर	girdhr
गिरने	girē
गिरफ़्त	girft
गिरफ्तार	girphtār
गिरफ़्तार	girftār
ग़िरफ़्तार	ġirftār
गिरफ्तारी	girphtārī
गिरफ़्तारी	girftārī
ग़िरफ़्तारी	ġirftārī
गिरा	girā
गिराई	girāī
गिराता	girātā
गिराने	girāē
गिरामी	girāmī
गिराया	girāyā
गिरावट	girāvṭ
गिरि	giri
गिरी	girī
गिरे	girē
गिरोह	girōh
गिरोहों	girōhō̃
गिल	gil
गिलक्रिस्ट	gilrisṭ
गिल्क्रिस्ट	gilrisṭ
गिलगित	gilgit
गिल्ड	gilḍ
गिलिगन	gilig
गिले	gilē
गिलेर्मो	gilērmō
गी	gī
गीत	gīt
गीता	gītā
गीतों	gītō̃
गीला	gīlā
गुंजाईश	guñjāīś
गुंडप्पा	guṇḍppā
गुंडा	guṇḍā
ग़ुंडा	ġuṇḍā
गुंडे	guṇḍē
गुज़र	guzr
ग़ुज़र	ġuzr
गुजरता	gujrtā
गुजरती	gujrtī
गुज़रती	guzrtī
गुजरना	gujrā
गुज़रना	guzrā
गुज़रनी	guzrī
गुजरने	gujrē
गुज़रने	guzrē
गुजरा	gujrā
गुज़रा	guzrā
गुजरात	gujrāt
गुजराल	gujrāl
गुज़री	guzrī
गुज़रे	guzrē
गुजरेगा	gujrēgā
गुजार	gujār
गुज़ार	guzār
गुजारत	gujārt
गुज़ारते	guzārtē
गुजारना	gujārā
गुज़ारना	guzārā
गुजारनी	gujārī
गुज़ारने	guzārē
गुजारा	gujārā
गुज़ारिश	guzāriś
गुजारी	gujārī
गुज़ारी	guzārī
गुट	guṭ
गुटबाज़ी	guṭbāzī
गुटों	guṭō̃
गुड़गाँव	guṛgā̃v
गुड्डु	guḍḍu
गुड्डू	guḍḍū
गुड्डो	guḍḍō
गुडनेस	guḍēs
गुड़िया	guṛiyā
गुडो	guḍō
गुण	guṇ
गुणगान	guṇgā
गुणतिलके	guṇtilē
गुणतिलिके	guṇtiliē
गुणरत्ने	guṇrtē
गुणों	guṇō̃
गुत्थी	gutthī
गुनगुनाए	guguāē
गुनगुनाएँगे	guguāē̃gē
गुना	guā
गुनाह	guāh
गुनाहों	guāhō̃
गुनी	guī
गुपचुप	gupcup
गुप्त	gupt
गुप्तचर	guptcr
गुप्तचरी	guptcrī
गुप्ता	guptā
गुबार	gubār
गुमनाम	gumām
गुमराह	gumrāh
गुमला	gumlā
गुरंग	gurg
गुरपाल	gurpāl
गुरबख़्श	gurḇẖś
गुरमीत	gurmīt
गुरिंदर	guridr
गुरिल्ला	gurillā
गुरु	guru
गुरुंग	gurug
गुरुओं	guruō̃
गुरुकुल	guruul
